experiment_name,variant,num_runs,best_score,avg_score,std_score,median_score,worst_score,avg_runtime_s,total_runtime_s
"Baseline (Constant Inertia, Global)",constant_inertia,30,18226.0,19506.866666666665,612.3889141895224,19590.5,20908.0,0.6208000000000001,18.624000000000002
"Linear Inertia, Global",linear_inertia,30,18236.0,19463.166666666668,601.2176024997568,19498.5,20599.0,0.6255000000000002,18.765000000000004
"Constant Inertia, Local Topology",local_topology,30,18434.0,19565.133333333335,578.6348147915825,19583.5,20634.0,0.6188999999999999,18.566999999999997
"Linear Inertia, Local Topology",linear_local,30,18410.0,19400.2,547.0853924815273,19452.5,20308.0,0.6257,18.771
"Linear Inertia, Global (High c)",linear_global,30,18300.0,19419.433333333334,491.83992540482336,19482.5,20223.0,0.6143999999999998,18.431999999999995
Constriction Factor PSO,constriction,30,18222.0,19432.3,580.8589702615717,19530.0,20279.0,0.6169666666666666,18.508999999999997
DE - rand1 Binomial Continuous,de_rand1_binomial,30,18944.0,19596.466666666667,443.4400172389596,19597.0,20384.0,0.6507,19.520999999999997
DE - best1 Binomial Continuous,de_best1_binomial,30,18539.0,19585.4,455.3602676270003,19576.5,20607.0,0.6496999999999999,19.491
DE - rand1 Exponential Continuous,de_rand1_exponential,30,17951.0,19512.033333333333,553.7851257984053,19604.5,20625.0,0.6576000000000001,19.728
DE - rand1 Binomial Discrete,de_rand1_discrete,30,18330.0,19489.9,454.10757536072884,19543.5,20330.0,13.172100000000002,395.16300000000007
Hybrid PSO-DE (Default),hybrid_pso_de_default,30,18437.0,19956.5,488.03843769386305,20035.5,20595.0,0.6565666666666667,19.697000000000003
Hybrid PSO-DE (Tuned),hybrid_pso_de_tuned,30,18399.0,19846.4,532.3985724999645,19984.0,20518.0,0.6578333333333334,19.735000000000003
